역명,승하차구분,06시간대이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,총승하차인원,유임승하차인원,무임승하차인원,시간대총합
종각,승차,146892,154132,241139,380179,478639,680084,1033524,1254117,1575505,1985806,2476132,3049853,5564254,7865455,3522401,3101562,3189691,2299100,989338,60754,40050981,34587606,5463375,40048557
종로3가,승차,238243,271011,409072,672749,984762,1419075,2016239,2722221,3084410,3703588,4390551,5055940,6236662,7505287,4472508,3800841,4066358,3245804,1582458,196408,56076776,39573051,16503725,56074187
종로5가,승차,72815,112745,214745,366617,531082,873933,1293709,1613007,1889829,2175935,2317916,2490506,3158759,3393555,1780881,1287361,1154815,706427,216830,12924,25664567,16737771,8926796,25664391
창동,승차,688101,1405345,3119670,2847392,1867130,1558497,1521753,1569258,1482530,1424480,1569990,1780456,1771769,1818239,1055504,829232,737762,575151,256665,46492,27925541,19720398,8205143,27925416
천호,승차,645349,1046729,2653193,3452088,2085759,1617836,1727096,1948596,2002708,2063341,2351586,2721626,3127165,3256824,2190553,1941123,1441233,1091687,528480,108696,38002058,28886746,9115312,38001668
청량리,승차,672946,923096,2705009,3560320,2313662,2425030,2446687,2783895,2958746,2986278,3242444,3537635,3254213,3048309,1945785,1769668,1272596,778071,369082,18403,43011973,27368135,15643838,43011875
총신대입구,승차,226037,620348,1691877,2130216,1389927,1069086,1035951,1128426,1165263,1089906,1123569,1212817,1372061,1549032,948917,878134,736362,614926,282416,38932,20304436,14551248,5753188,20304203
하계,승차,317340,949101,2422881,2532781,1442230,1083902,1036207,1072607,981864,952674,1084176,1178492,1144241,930942,534252,490240,397210,294123,107010,18243,18970543,14696645,4273898,18970516
혜화,승차,125784,279632,628813,783580,931104,1177123,1419464,1545732,1645753,2121797,2945385,3474365,4122719,4380006,2687907,2806596,3714566,3275126,1138443,149420,39353717,34494995,4858722,39353315
홍대입구,승차,1249515,1374918,2640433,3439996,2763330,2636880,2982530,3486928,4075932,4617398,5635420,6963972,8274520,9373819,7814627,7709431,8789820,8348253,4172520,500342,96852327,92251818,4600509,96850584
홍제,승차,368193,865336,2318528,2544409,1648307,1192654,1093208,1159295,1056194,976684,994733,1070546,1066836,998610,562595,449933,359617,258328,102935,14906,19101896,13811982,5289914,19101847
화곡,승차,850704,1525608,4102987,5205340,2638743,1681162,1508314,1570174,1443640,1240346,1199874,1330952,1413320,1437393,850887,623941,522481,398845,170008,24868,29739690,24125261,5614429,29739587
